1.585930e-001 0.000000e+000 0.000000e+000 -7.106947e-006
1.585930e-001 1.585859e-001 -7.106947e-006 0.000000e+000
1.585859e-001 1.585859e-001 0.000000e+000 -4.481349e-005
1.585859e-001 1.585411e-001 -4.481349e-005 0.000000e+000
1.585411e-001 1.585411e-001 0.000000e+000 -2.826218e-004
1.585411e-001 1.582585e-001 -2.826218e-004 0.000000e+000
1.582585e-001 1.582585e-001 0.000000e+000 -1.784231e-003
1.582585e-001 1.564742e-001 -1.784231e-003 0.000000e+000
1.564742e-001 1.564742e-001 0.000000e+000 -1.133820e-002
1.564742e-001 1.451360e-001 -1.133820e-002 0.000000e+000
1.451360e-001 1.451360e-001 0.000000e+000 -7.521987e-002
1.451360e-001 6.991616e-002 -7.521987e-002 0.000000e+000
6.991616e-002 6.991616e-002 0.000000e+000 -7.303746e-001
6.991616e-002 -6.604585e-001 -7.303746e-001 0.000000e+000
-6.604585e-001 -6.604585e-001 0.000000e+000 1.#QNAN0e+000
-6.604585e-001 1.#QNAN0e+000 1.#QNAN0e+000 1.#QNAN0e+000
1.#QNAN0e+000 1.#QNAN0e+000 1.#QNAN0e+000 1.#QNAN0e+000
1.#QNAN0e+000 1.#QNAN0e+000 1.#QNAN0e+000 1.#QNAN0e+000
1.#QNAN0e+000 1.#QNAN0e+000 1.#QNAN0e+000 1.#QNAN0e+000
1.#QNAN0e+000 1.#QNAN0e+000 1.#QNAN0e+000 1.#QNAN0e+000
